Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
18.7,0.6346,0.2072,-0.0105,2,3.7720,0.4837,7.0064
18.8,0.7822,0.1478,0.1622,2,4.1305,0.4715,7.1016
18.9,0.6392,0.0600,-0.0608,2,3.9093,0.4746,7.0607
19.0,0.6118,0.1478,-0.0006,2,3.8854,0.4792,7.0354
19.1,0.8028,0.2125,0.0669,2,4.1519,0.4623,7.1609
19.2,0.9893,0.4191,0.1924,2,4.4577,0.4457,7.3626
19.3,0.9220,0.1639,0.0384,2,4.2887,0.4526,7.2401
19.4,0.7421,0.1406,0.1534,2,3.8251,0.4701,7.1679
19.5,0.6386,0.3656,0.0011,2,3.5415,0.4661,7.2040
19.6,0.9204,0.5041,-0.0317,2,4.1318,0.4480,7.3408
19.7,0.7324,0.5357,-0.1984,2,4.1790,0.4550,7.3681
19.8,0.8312,0.5315,0.0240,2,4.3863,0.4600,7.2606
19.9,0.6363,0.2018,-0.2684,2,4.3249,0.4496,7.3938
20.0,0.4677,-0.3981,0.0530,1,4.2808,0.4401,7.5396
20.1,0.4573,-0.1062,-0.1999,1,4.2693,0.4542,7.4255
20.2,0.7061,0.5050,-0.0821,2,4.4785,0.4572,7.3693
20.3,0.6767,0.4363,-0.1395,2,4.2661,0.4480,7.4706
20.4,0.3788,0.1993,-0.0855,3,3.7695,0.4645,7.2306
20.5,0.5978,0.1339,0.0043,2,3.8044,0.4544,7.3333
20.6,0.6487,0.2384,-0.0097,2,4.0146,0.4576,7.3360
20.7,0.5616,0.2153,0.0164,2,3.7843,0.4641,7.2092
20.8,0.5454,0.0484,-0.0564,2,3.6970,0.4579,7.2888
20.9,0.7010,0.2576,-0.0045,2,4.1799,0.4609,7.1951
21.0,0.8632,0.5624,-0.2202,2,4.5089,0.4557,7.3139
21.1,0.9625,0.6602,0.1074,2,4.6644,0.4590,7.1040
21.2,0.8775,0.2844,-0.2139,2,4.7073,0.4453,7.2956
21.3,1.1134,0.8309,-0.0368,2,4.9980,0.4466,7.0264
21.4,0.8781,0.4822,-0.0696,2,4.4357,0.4609,7.1829
21.5,0.9632,0.6234,0.0438,2,4.6672,0.4495,7.3434
21.6,0.8517,0.4173,0.1799,2,4.1797,0.4420,7.5640
21.7,0.7166,0.2662,-0.0486,2,4.2808,0.4559,7.1697
21.8,0.9705,0.5754,-0.2898,2,4.9391,0.4538,7.1768
21.9,0.9960,0.7185,0.1472,2,4.9382,0.4339,7.7689
22.0,0.9388,0.6391,-0.2013,2,4.5883,0.4456,7.3441
22.1,0.8435,0.6649,-0.2872,2,4.7144,0.4538,7.2165
22.2,0.7949,0.5187,-0.2299,2,4.2164,0.4665,7.0925
22.3,0.8092,0.4622,-0.1847,2,4.5312,0.4643,6.9315
22.4,0.6865,0.4976,-0.0224,2,4.1328,0.4578,7.2819
22.5,0.6852,0.5098,0.0720,2,4.1653,0.4581,7.3489
22.6,0.7712,0.3802,-0.0882,2,4.4973,0.4578,7.4064
22.7,0.6903,0.1805,-0.1980,2,4.2339,0.4681,7.0657
22.8,0.7017,0.2184,-0.1840,2,3.9890,0.4633,7.1371
22.9,1.0272,0.5637,0.3981,2,4.8515,0.4417,7.6758
23.0,1.1045,0.6322,0.2881,2,5.0935,0.4407,7.6257
23.1,1.0533,0.6298,0.0414,2,4.9482,0.4326,7.5822
23.2,0.9965,0.5477,-0.2672,2,4.7552,0.4395,7.3450
23.3,0.9637,0.6623,-0.3749,2,4.5922,0.4483,7.1766
23.4,0.6629,0.4192,-0.1916,2,4.1272,0.4618,7.2064
23.5,0.9262,0.5596,-0.3362,2,4.4938,0.4517,7.0770
23.6,0.7127,0.5398,0.0791,2,4.1173,0.4674,7.1199
23.7,0.8850,0.6523,0.0138,2,4.8113,0.4669,6.9394
23.8,0.8705,0.5537,-0.1874,2,4.7341,0.4645,6.9718
23.9,0.9174,0.6515,-0.2069,2,4.9225,0.4577,6.8831
24.0,0.7987,0.4010,-0.1895,2,4.3755,0.4569,7.1883
24.1,0.9601,0.5718,-0.2386,2,4.5876,0.4497,7.1841
24.2,1.0088,0.6512,0.1383,2,4.9382,0.4525,7.3102
24.3,0.7060,0.3280,-0.2148,2,4.3479,0.4683,7.0761
24.4,0.8280,0.7103,-0.0715,2,4.3040,0.4495,7.3587
24.5,0.8957,0.4770,-0.0317,2,4.3921,0.4562,7.2023
24.6,1.0484,0.8011,-0.0419,2,4.8986,0.4501,7.1503
24.7,0.9627,0.4609,-0.2122,2,4.7794,0.4425,7.3441
24.8,0.6830,0.4023,0.0816,2,4.2456,0.4618,7.1128
24.9,0.7346,0.4649,0.1212,2,4.2302,0.4565,7.1986
25.0,0.2970,0.8079,-0.0640,3,3.1254,0.4688,7.3193
25.1,0.2332,0.6913,0.0527,3,3.1448,0.4776,7.0960
25.2,0.2433,0.7396,-0.1555,3,3.1335,0.4824,7.0209
25.3,0.2961,0.8077,-0.0269,3,3.0770,0.4786,7.0920
25.4,0.0338,0.6043,-0.0181,3,2.5196,0.4911,7.1321
25.5,-0.0113,0.3619,-0.0311,3,2.5359,0.4940,7.0318
25.6,-0.0615,0.3124,0.0835,3,2.5570,0.4877,7.0894
25.7,0.0046,0.5400,0.1255,3,2.7465,0.4885,7.0304
25.8,-0.0429,0.5037,0.0074,3,2.7373,0.4807,7.0643
25.9,0.2526,0.4481,0.0059,3,2.4376,0.4835,7.1455
26.0,0.0562,0.5536,-0.1235,3,2.5117,0.4851,7.0132
26.1,0.2328,0.6200,-0.0970,3,2.7793,0.4902,6.9344
26.2,0.1367,0.5152,-0.1278,3,2.6475,0.4933,7.0116
26.3,-0.0683,0.2510,0.0242,3,2.0938,0.4940,6.9826
26.4,-0.2492,0.0858,0.0764,0,2.1298,0.5026,6.8768
26.5,-0.2853,0.0045,0.0118,0,2.2952,0.4896,6.9695
26.6,-0.2529,-0.1148,-0.0347,0,2.3157,0.5063,6.9074
26.7,-0.2440,0.0197,-0.0921,0,2.1656,0.5064,6.8635
26.8,-0.2618,-0.1321,0.1775,0,2.3970,0.5041,6.8222
26.9,-0.1179,0.0996,-0.1041,0,2.1664,0.5073,7.0101
27.0,-0.2815,0.0199,0.0179,0,2.2810,0.5077,6.8696
27.1,0.0544,0.2854,0.0241,3,2.0502,0.5083,6.9617
27.2,-0.1779,0.0848,0.0143,0,2.3773,0.4967,6.8862
27.3,-0.1679,0.0979,-0.0055,0,2.3608,0.4964,6.9734
27.4,-0.1639,0.1198,0.1711,0,2.0910,0.5113,6.8397
27.5,-0.1864,0.0346,0.1150,0,2.1829,0.4984,6.9722
27.6,-0.1825,0.0286,-0.0096,0,2.2980,0.5006,6.9172
27.7,-0.2852,0.0238,0.0661,0,2.2321,0.5176,6.7576
27.8,-0.2107,0.0875,0.0820,0,2.3345,0.5103,6.8363
27.9,-0.2336,0.0135,0.0296,0,2.5008,0.5084,6.8198
