Time_ns,Rg_A
90.5,6.9084
90.6,6.8746
90.7,6.7111
90.8,6.8276
90.9,6.8812
91.0,6.8135
91.1,6.7684
91.2,6.7548
91.3,6.7539
91.4,6.9358
91.5,6.8871
91.6,6.8179
91.7,6.8282
91.8,6.8190
91.9,6.8080
92.0,6.8301
92.1,6.8384
92.2,6.8944
92.3,7.0270
92.4,6.8245
92.5,6.8710
92.6,6.8386
92.7,6.7770
92.8,6.8219
92.9,6.8186
93.0,6.7668
93.1,6.9472
93.2,6.7600
93.3,6.8328
93.4,6.8340
93.5,6.6988
93.6,6.7485
93.7,6.7536
93.8,6.8065
93.9,6.8307
94.0,6.7209
94.1,6.7353
94.2,6.8979
94.3,6.8434
94.4,6.7720
94.5,6.7841
94.6,6.6975
94.7,6.8225
94.8,6.8733
94.9,6.8021
95.0,6.7648
95.1,6.8093
95.2,6.8475
95.3,6.7915
95.4,6.8293
95.5,6.8064
95.6,6.8718
95.7,6.8160
95.8,6.8046
95.9,6.8065
96.0,6.8406
96.1,6.7889
96.2,6.7659
96.3,6.7411
96.4,6.7668
96.5,6.8122
96.6,6.8306
96.7,6.8785
96.8,6.7785
96.9,6.7860
97.0,6.7972
97.1,6.8294
97.2,6.7851
97.3,6.8802
97.4,6.8665
97.5,6.7877
97.6,6.9466
97.7,6.8855
97.8,6.7495
97.9,6.7715
98.0,6.8264
98.1,6.9051
98.2,6.8149
98.3,6.9239
98.4,7.0420
98.5,6.9132
98.6,6.8707
98.7,6.7572
98.8,6.8590
98.9,6.8874
99.0,6.7759
99.1,6.7934
99.2,6.8768
99.3,6.8532
99.4,6.8980
99.5,6.8280
99.6,6.7623
99.7,6.7193
99.8,6.7663
99.9,6.8366
100.0,6.7231
100.1,6.8674
100.2,6.9021
100.3,6.8313
