Time_ns,RMSD_A
79.6,2.3131
79.7,2.2246
79.8,2.4367
79.9,2.4113
80.0,2.3026
80.1,2.3917
80.2,2.2704
80.3,2.2582
80.4,2.3401
80.5,2.6023
80.6,2.3860
80.7,2.4389
80.8,2.2527
80.9,2.3568
81.0,2.2179
81.1,2.2742
81.2,2.2988
81.3,2.1437
81.4,2.3129
81.5,2.2481
81.6,2.2651
81.7,2.2735
81.8,2.3033
81.9,2.2308
82.0,2.2860
82.1,2.2429
82.2,2.3559
82.3,2.3343
82.4,2.3922
82.5,2.4241
82.6,2.0735
82.7,2.1264
82.8,2.2549
82.9,2.0756
83.0,2.1881
83.1,2.1818
83.2,2.0803
83.3,2.3328
83.4,2.3594
83.5,2.3208
83.6,2.1201
83.7,2.1592
83.8,1.9990
83.9,2.2713
84.0,2.1608
84.1,2.2874
84.2,2.1932
84.3,2.2266
84.4,2.3936
84.5,2.3926
84.6,2.2202
84.7,2.3349
84.8,2.2621
84.9,2.3857
85.0,2.2285
85.1,2.4063
85.2,2.3143
85.3,2.4642
85.4,2.3888
85.5,2.4066
85.6,2.2258
85.7,2.4564
85.8,2.3639
85.9,2.2773
86.0,2.3134
86.1,2.3664
86.2,2.5180
86.3,2.5159
86.4,2.5686
86.5,2.2589
86.6,2.4204
86.7,2.3685
86.8,2.4349
86.9,2.2161
87.0,2.4031
87.1,2.2943
87.2,2.2733
87.3,2.2243
87.4,2.4812
87.5,2.1949
87.6,2.2673
87.7,2.2638
87.8,2.3557
87.9,2.2519
88.0,2.2832
88.1,2.2244
88.2,2.1989
88.3,2.4132
88.4,2.3032
88.5,2.3886
88.6,2.2713
88.7,2.0629
88.8,2.3650
88.9,2.4037
89.0,2.2588
89.1,2.0768
89.2,2.1624
89.3,2.2721
89.4,2.5382
89.5,2.4520
89.6,2.2986
89.7,2.2348
89.8,2.4610
89.9,2.3799
90.0,2.2564
90.1,2.2503
90.2,2.1964
90.3,2.2596
90.4,2.2422
90.5,2.2811
90.6,2.1315
90.7,2.0825
90.8,2.0847
90.9,2.1306
91.0,2.1251
91.1,2.3378
91.2,2.5174
91.3,2.1454
91.4,2.3533
91.5,2.2600
91.6,2.3643
91.7,2.2807
91.8,2.1607
91.9,2.3631
92.0,2.2675
92.1,2.3463
92.2,2.4466
92.3,2.3455
92.4,2.1628
92.5,2.3798
92.6,2.3995
92.7,2.2321
92.8,2.4152
92.9,2.4495
93.0,2.4509
93.1,2.3569
93.2,2.5193
93.3,2.4369
93.4,2.6164
93.5,2.6983
93.6,2.4887
93.7,2.5143
93.8,2.5634
93.9,2.2673
94.0,2.5489
94.1,2.3182
94.2,2.0669
94.3,2.2449
94.4,2.2796
94.5,2.3023
94.6,2.4846
94.7,2.4276
94.8,2.4566
94.9,2.3999
95.0,2.3696
95.1,2.3362
95.2,2.3456
95.3,2.3961
95.4,2.2532
95.5,2.2683
95.6,2.1839
95.7,2.2692
95.8,2.3636
95.9,2.2449
96.0,2.2103
96.1,2.2786
96.2,2.1742
96.3,2.4729
96.4,2.4193
96.5,2.3596
96.6,2.5650
96.7,2.5105
96.8,2.5473
96.9,2.5657
97.0,2.4598
97.1,2.3125
97.2,2.2176
97.3,2.4326
97.4,2.2412
97.5,2.3842
97.6,2.0415
97.7,2.0911
97.8,2.6304
97.9,2.1823
98.0,2.1729
98.1,2.3188
98.2,2.2454
98.3,2.3913
98.4,2.3756
98.5,2.3305
98.6,2.3432
98.7,2.3450
98.8,2.1752
98.9,2.0853
99.0,2.2318
99.1,2.2396
99.2,2.1335
99.3,2.2630
99.4,2.1099
99.5,2.2466
99.6,2.4336
99.7,2.2910
99.8,2.4214
99.9,2.5137
100.0,2.4651
100.1,2.0696
100.2,1.9697
100.3,2.1731
